# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
0.700000,1.039418,-0.000000,0.000000,-2.934556,0.400765,1.460295,0.809788,-0.760359,2.845831,-0.000000,-0.000000,-1.933209,-0.384913,0.360050,0.411016,0.032526,0.997997,0.000000,-0.000000,0.022288,-0.012789,-0.014165,-0.002824,0.011162,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.700000,0.407173,-1.820444,0.257284,4.508504,-0.250686,-1.391416,-0.885469,0.554976,2.201871,-2.496414,-2.361337,1.846183,1.005158,0.410549,-0.190881,-0.647632,1.000778,0.004557,-0.010157,-0.008507,0.009352,0.009565,0.001878,-0.008871,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.700000,0.452833,2.717039,2.985321,-4.421935,-0.506583,0.922532,0.949532,-0.101556,0.165114,-1.942297,2.905737,-0.079510,-0.253424,-0.064880,0.109799,0.154733,0.999416,-0.003267,0.007732,0.002876,-0.005520,-0.003431,-0.000161,0.002985,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.700000,2.437612,1.682603,-1.564513,4.340400,-3.720181,-4.473014,-1.073252,4.365777,0.155955,1.821423,2.712730,0.946514,-2.243625,-2.397988,-0.516746,2.299456,1.000228,0.002388,-0.004270,-0.005413,0.004381,0.006306,0.001822,-0.005952,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.700000,2.925858,-2.088151,-7.185878,1.331428,10.778347,5.578589,-2.733597,-10.366421,2.271694,2.426186,-3.866147,-1.307174,3.634730,2.338413,-0.379786,-3.039508,0.999787,-0.001030,0.004428,0.000237,-0.005459,-0.002101,0.001300,0.003867,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
