# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
0.700000,0.388916,0.000000,-0.000000,3.175693,0.101798,-1.063755,-0.758764,0.372229,0.126364,0.000000,-0.000000,-1.567481,0.533281,1.079937,0.495979,-0.670515,0.997997,0.000000,-0.000000,0.022288,-0.012789,-0.014165,-0.002824,0.011162,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.700000,1.265222,3.072293,1.900648,-3.828760,-0.745892,0.333790,0.603569,0.285457,-0.098605,-0.328114,1.400025,2.985140,-0.719115,-1.410717,-0.672067,0.804154,1.000778,0.004557,-0.010157,-0.008507,0.009352,0.009565,0.001878,-0.008871,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.700000,3.005409,0.326011,-4.006504,2.257637,0.485661,-0.390950,-0.567202,-0.096517,0.959029,3.324414,1.133650,-3.793565,-0.310261,0.833564,0.767912,-0.167342,0.999416,-0.003267,0.007732,0.002876,-0.005520,-0.003431,-0.000161,0.002985,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.700000,2.021021,-2.418841,-1.562015,-3.000258,3.801938,4.322316,0.989264,-4.182101,2.682581,0.546565,-2.710870,3.283790,-2.099856,-2.672853,-0.670149,2.629439,1.000228,0.002388,-0.004270,-0.005413,0.004381,0.006306,0.001822,-0.005952,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.700000,-0.055374,-1.057386,6.942923,0.466588,-8.540803,-4.813516,1.697226,7.815622,2.047492,-3.021578,-4.289387,1.806483,7.515995,3.662080,-2.177101,-7.457595,0.999787,-0.001030,0.004428,0.000237,-0.005459,-0.002101,0.001300,0.003867,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
