# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000616,-0.000000,0.000000,-0.030092,-0.015795,0.014965,-0.003151,0.000200,1.004787,-0.000000,-0.000000,0.203281,-0.180719,0.056512,-0.006788,0.000169,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.311043,-0.058950,0.107614,0.004462,0.011510,-0.020005,0.006522,-0.000654,1.029002,-0.165191,-0.039678,-0.027321,0.085386,-0.054429,0.014242,-0.001344,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.006375,0.031997,-0.049975,0.019255,0.012883,-0.001932,-0.001479,0.000281,0.578941,-0.076728,0.074843,0.008739,-0.008693,0.000718,0.000334,-0.000053,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.252381,0.153286,-0.061721,-0.022996,-0.023410,0.022775,-0.005718,0.000468,0.835184,0.173614,0.013569,0.000249,0.008398,-0.016910,0.006058,-0.000641,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
